Age,Screen_Time,Phone_Unlocks,Social_Media_Usage,Gaming_Hours,Streaming_Hours,Messaging_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Anxiety_Score,Stress_Level,Age_First_Phone,Notifications_Per_Day
29,4.63,141,1.96,1.22,3.65,1.18,7.13,1.07,64.7,86.9,42.65,14,74
28,5.75,82,1.22,1.16,2.26,1.52,5.22,1.36,27.13,66.62,37.67,18,91
53,6.14,128,1.42,2.63,3.11,1.07,7.97,1.01,79.07,1.63,79.85,12,82
62,4.67,72,1.18,-0.44,1.55,1.71,7.13,1.76,24.89,72.13,84.34,20,67
52,8.85,56,2.65,-0.09,1.22,0.82,4.13,1.04,48.19,92.14,66.29,14,87
70,3.2,80,0.64,1.64,1.12,2.04,6.12,0.73,99.51,94.75,88.29,8,79
15,8.67,91,0.55,-1.33,1.45,1.47,6.3,1.2,78.9,9.9,98.25,20,109
62,4.1,82,2.35,1.05,2.24,2.37,8.2,0.75,20.27,30.94,48.28,11,56
23,4.95,84,1.02,1.4,1,1.8,6.43,0.8,10.94,75.29,0.18,14,68
36,7.44,111,1.69,1.45,1.86,1.22,5.35,0.77,50.85,83.13,80.58,16,87
30,3.18,65,3.18,0.23,1.86,1.75,7.46,1.12,62.31,1.17,99.24,11,103
19,4.87,23,2.09,1.38,1.88,0.68,5.79,1.18,61.57,5.05,81.06,14,34
66,4.86,59,1.99,1.62,2,1.49,8.12,1.21,79.12,41.32,19.63,16,77
41,4.85,87,3.07,1.84,4.34,1.58,8.14,1.93,44.92,36.35,36.72,9,60
69,3.34,98,2.53,3.38,1.47,1.52,5.61,0.13,38.84,55.95,10.34,15,126
57,8.14,72,1.77,-0.04,1.8,1.86,6.14,1.55,65.53,32.76,23.04,19,168
26,7.5,115,1.85,1.45,3.18,0.93,7.36,1.22,62.62,50.24,21.43,9,100
58,2.8,77,-0.15,3.5,1,1.47,4.96,0.96,56.07,46.05,77.38,18,119
36,5.44,59,2.02,2.39,2.07,1.04,5,0.76,71.65,92.97,4.42,11,72
66,6.95,120,2.49,-0.37,2.72,2.09,8.24,1.21,78.64,60.44,81.89,17,115
69,3.12,80,2.37,0.98,3.93,1.57,6.53,1.85,19.89,46.71,67.79,20,142
16,7.48,52,0.25,2.36,0.03,1.06,4.83,0.87,53.61,49.86,67.17,10,84
68,5.58,58,2.71,3.26,2.88,2.32,6.39,1.31,25.92,96.07,21.15,16,91
15,7.6,68,1.33,1.51,2.25,1.65,6.64,0.23,48.29,88.31,72.25,8,91
17,7.03,63,3.08,1.59,2.92,2.16,8.29,0.75,81.4,16.26,52.9,18,158
28,5.02,41,1.64,1.2,2.52,1.53,5.43,1.81,39.68,46.16,66.26,8,116
32,4.03,94,2.09,1.97,3.07,1.05,8.36,0.99,77.92,28.32,91.58,14,117
13,4.19,78,3.2,1.59,3.17,2.7,6.91,0.17,56.92,61.41,68.44,13,90
20,6.78,96,1.17,1.12,2.56,1.93,5.4,1.72,41.53,79.26,98.91,20,104
20,3.3,110,2.44,0.27,2.88,1.61,6.22,1.54,64.53,25.57,3,16,100
67,6.91,71,3.45,0.89,3.57,1.84,6.72,1.14,67.44,67.12,44.28,9,121
44,7.09,57,1.39,0.49,0.25,2.31,5.09,1.24,52.17,67.83,47.49,15,80
62,7.51,89,1.24,1.57,0.5,1.88,4.37,1.32,95.34,55.67,98.88,17,122
32,6.93,69,1.87,0.28,1.33,0.46,4.4,0.31,71.13,37.16,58.67,8,83
33,4.16,112,2.43,0.92,2.64,1.96,6.36,0.06,4.17,86.22,87.5,16,141
50,6.43,84,1.83,2.54,1.96,1.3,7.4,1.36,75.4,38.69,40.09,19,78
50,2.47,73,1.66,0.44,1.92,1.57,7.51,0.52,93.56,41.56,9.43,20,105
59,5.06,67,1.94,0.61,1.09,1.24,6.48,0.91,26.52,71.14,37.66,12,138
69,9.76,84,2.76,2.94,2.52,0.27,6.94,0.52,39.35,25.01,49.8,14,88
30,6.84,86,3.03,2.47,1.04,1.43,6.41,0.69,8.53,59.82,45.18,18,92
18,6.91,84,0.95,0.31,3.34,2.51,6.1,0.51,80.84,12.23,59.48,16,54
37,3.47,55,2.01,0.25,1.51,1.15,6.2,1.35,0.25,84.22,0.98,10,143
53,7.75,38,2.78,1.28,0.42,1.94,6.4,1.43,94.6,66.96,19.97,15,126
21,5.07,67,2.07,1.43,1.68,1.33,7.06,0.49,82.42,13.55,42.07,20,71
70,10.67,104,2.39,2.61,2.13,0.72,6.17,0.77,22.14,27.2,83.94,19,115
47,11.04,44,1.55,1.88,1.9,1.31,6.22,0.93,14.51,21.24,51.82,17,135
16,5.13,17,2.01,2.12,2,1.8,5.78,1.65,72.78,61.07,90.41,20,73
40,5.96,84,2.3,0.91,2.41,1.33,5.95,0.95,54,89.61,74.27,12,42
33,4.95,66,3.35,0.53,2.6,1.4,8.82,1.7,7.73,39.15,69.98,20,78
18,4.55,111,0.01,1.87,2.59,2.15,6.1,0.6,23.43,69.78,20.04,10,89
57,8.29,104,-0.07,1.65,2.22,1.36,6.24,0.41,19.66,95.73,4.31,9,62
56,9.54,91,0.33,-0.25,2.25,1.07,5.04,0.96,47.04,10.66,30.56,13,143
52,5.41,48,4.78,2.31,0.98,0.75,5.95,0.33,18.76,54.99,60.15,12,66
63,5.16,90,1.39,3.11,1.72,1.43,5.31,0.55,93.32,19.02,3.07,10,76
65,7.72,52,0.41,1.53,0.58,0.89,6.55,0.49,62.97,33.59,40.88,15,56
45,7.17,69,1.78,0.69,2.01,1.43,6.22,0.97,87.6,31.6,36.1,13,75
47,6.1,98,1.78,1.24,1.51,1.35,6.52,0.18,6.27,14.59,17.83,16,60
41,5.29,124,1.67,1.79,4.21,1.53,6.76,1.4,15.93,13.51,33.57,18,109
61,4.95,77,2.96,1.41,2.94,2.17,6.37,1.12,8.72,94.13,44.65,16,94
25,5.54,53,0.18,2.16,3.08,1.61,6.91,0.91,38.16,8.06,98.73,16,134
26,3.64,120,2.38,2.3,3.4,1.65,5.93,0.94,49.37,85.81,53.31,9,104
25,6.59,135,2.7,1.1,1.09,0.49,5.32,1.22,10.82,86.62,22.96,12,84
68,5.92,38,2.69,1.78,4.46,1.08,6.21,0.42,38.14,81.15,17.39,9,123
56,9.15,119,3.82,0.12,2.28,2.4,6.01,0.2,59.91,16.69,2.32,18,124
23,4.71,112,2.17,0.25,2.64,1.42,7.08,1.7,81.97,80.34,34.44,20,138
28,6.74,106,0.9,0.14,2.89,2.13,5.7,1.46,99.59,10.96,58.49,9,91
34,6.34,91,3.02,1.43,0.19,1.16,5.16,0.92,87.41,57.46,86.78,17,95
20,5.61,84,2.33,1.81,0.51,0.96,5.9,1.42,17.86,94.8,77.63,17,141
42,7.5,73,3.26,1.96,3.12,1.62,7.29,0.89,78.54,94.65,75.53,12,68
53,6.37,32,2.89,0.98,0.48,1.32,6.17,1.44,10.53,55.31,21.6,10,56
19,4.03,97,2.55,0.42,2.61,1.65,7.24,1.14,23.6,70.89,30.65,10,122
59,5.94,86,1.44,2.39,3.12,2.65,5.94,0.99,83.97,5.5,93.17,11,102
63,4.18,56,3.61,2.76,0.87,1.5,7.37,0.88,36.41,43.9,61.8,10,88
23,6.03,69,2.1,2.51,1.99,0.46,5.48,-0.01,15.28,58.55,71.75,19,52
30,9.16,74,1.54,1.29,2.02,1.59,8.52,1.66,22.97,21.25,38.87,16,97
63,7.78,92,2.05,0.8,2.55,1,6.77,0.96,39.33,86.11,30.77,19,130
37,7.55,88,0.84,0.83,1.93,1.1,5.31,1.1,68.63,37.17,21.35,8,124
29,3.91,76,2.28,0.84,2.96,1.37,7.47,1.69,3.83,57.85,60.97,14,82
50,6.23,63,2.46,2.16,3.46,0.79,7.05,0.64,97.19,53.9,36.33,19,133
43,8.68,81,4.01,1.18,3.03,0.74,8.97,1.82,25.47,44.94,82.16,19,191
20,5.75,87,2.37,1.87,1.56,1.56,6.29,0.93,4.75,9.78,17.75,9,82
15,5.53,67,0.13,-1.63,1.95,0.49,6.03,1.7,52.64,66.69,49.91,17,84
46,8.4,57,3.3,0.96,-0.17,0.96,8.01,1.4,17.72,92.83,34.35,16,75
25,4.59,44,0.64,3.64,1.24,1.87,6.13,0.93,36.04,39.66,89.13,17,130
34,4.2,48,-0.31,1.83,1.31,2.28,6.34,0.63,37.79,6.96,31.48,19,123
28,4.2,82,1.01,-0.5,1.11,0.68,6.29,1.02,69.45,65.01,4.71,11,92
40,6.16,75,1.66,1.95,1.87,1.4,7.95,0.57,50.27,74.81,1.87,15,89
60,10.84,80,2.61,1.89,3.58,1.99,6.53,1.37,98.67,15.91,42.21,9,76
53,6,58,0.62,0.79,2.8,1.74,6.14,1.5,51.17,12.13,2.84,9,85
44,8.63,105,2.57,1.99,0.99,1.76,7.84,0.65,22.25,45.55,78.99,20,35
26,3.91,73,2.4,3.49,2.98,2.32,9.3,1.73,44.82,22.65,1.45,9,-21
53,6.47,64,2.58,0.74,1.58,1.71,5.81,1.62,17.27,5.52,61.26,8,97
51,7.17,85,2.98,2.52,1.47,1.53,6.02,0.16,93.18,44.28,69.76,13,86
35,5.31,73,1.51,1.33,2.7,2.18,6.28,0.9,23.01,35.31,16.14,17,141
35,0.47,101,1.78,0.25,2.88,0.59,6.45,1.53,17.35,13.65,71.51,20,46
63,7.25,58,2.33,3.03,2.41,1.62,6.71,0.79,9.43,8.01,40.48,10,112
31,7.19,72,0.08,1.31,2.52,1.71,5.08,0.58,97.76,49.47,78.87,15,98
59,6.54,63,2.64,1.52,2.5,2.27,4.77,1.67,89.23,38.69,35.74,13,108
52,5.91,126,2.38,2.23,3.27,0.56,6.96,0.38,87.76,17.22,24.78,16,121
55,5.9,78,2,1.17,1.13,0.54,6.36,0.76,74.95,51.33,15.73,19,90
44,4.07,79,1.35,0.93,1.29,1.19,6.25,0.2,59.29,87.12,75.35,15,121
15,8.27,80,2.37,0.31,0.33,1.99,6.02,1.36,82.13,29.07,45.08,12,138
39,7.01,96,1.99,2.05,2.21,1.5,4.88,1.27,63.4,33.57,2.29,13,83
27,8.22,98,2.07,2.22,3.31,2.3,7.15,1.35,82.94,76.1,23.29,9,145
43,3.72,78,1.58,-0.18,2.44,1.31,7.57,1.11,69.82,5.75,50.62,8,71
29,7.92,95,3.06,3.55,1.99,1.33,7.99,0.74,55,8.67,23.16,11,102
38,8.29,78,2.81,1.02,0.93,1.17,5.96,1.39,14.36,17.74,29.61,10,59
61,4.01,145,3.32,0.99,2.04,1.09,5.93,0.47,84.49,33.16,24.78,16,122
29,10.54,73,1.68,2.11,2.67,1.51,7.73,-0.12,80.68,27.05,41.98,14,73
16,5.41,99,0.38,1.2,1.81,1.75,7.74,1.28,52.85,93.13,94.03,17,71
60,4.1,75,3.34,1.95,1.84,1.79,7.49,1.31,32.12,8.07,61.56,14,53
39,5.31,121,1.55,0.66,1.88,1.71,8.01,1.26,3.47,31.69,36.89,9,79
66,7.97,106,2.85,2.39,1.28,0.57,6.49,1.16,98.69,76.09,72.84,17,119
20,3.07,22,1.41,1.03,2.61,0.98,6.48,0.4,97.51,31.77,7.32,12,88
40,6.02,94,2.81,1.32,1.46,1.21,7.04,1.49,0.74,20.41,43.91,16,121
67,8.38,30,2.54,2.18,1.08,0.8,7.5,1.07,38.28,48.7,52.48,19,90
31,7.17,62,1.73,1.22,-0.32,1.74,6.72,1.7,70.59,66.47,92.01,20,83
23,6.83,47,2.43,2.5,2.41,0.71,5.86,1.65,77.37,7.48,4.58,20,114
31,7.56,65,-1.17,1.57,3.69,1.85,6.38,1.31,89.48,72.25,52.58,17,115
48,9.29,88,3.39,0.32,1.7,2.3,6.78,1.01,30.91,22.64,41.31,15,145
60,8.61,119,2.13,1.08,2.44,0.86,6.27,0.2,37.92,18.03,31.06,16,86
48,4.93,30,2.78,2.06,3.43,1.81,7.25,1.16,19.22,38.51,36.66,20,118
56,5.76,74,2.26,2.83,2.37,1.25,7.31,0.55,27.17,83.51,32.71,15,62
26,9.91,101,3.24,0.01,1.87,1.1,7.44,0.53,59.74,1.33,20.75,15,113
63,8.62,88,1.45,2.37,3.51,1.47,6.69,1,53.06,69.22,0.98,19,132
29,8.5,72,1.24,1,2.15,1.39,6.54,1.55,76.27,28.16,77.6,14,102
31,4.07,116,2.86,1.53,2.62,2.21,5.8,0.93,89.79,85.39,86.71,11,99
19,5.41,95,2.69,1.1,2.39,2.06,6.59,0.58,98.63,19.01,34.02,11,99
54,4.83,43,2,1.53,2.15,1.12,6.8,0.74,40.96,59.52,79.52,16,132
51,4.42,30,1.6,1.81,3.34,0.36,6.07,0.9,28.18,37.8,56.86,14,158
67,2.77,48,2.1,1.7,2.03,0.88,4.54,2.02,31.07,83.73,0.57,19,99
68,8.24,138,2.73,0.47,1.45,0.61,5.01,0.94,66.55,12.1,14.87,18,44
31,8.57,27,2.97,1.03,4.78,2.6,5.39,0.86,23.58,13.57,58.16,10,131
29,4.7,83,0.82,0.99,1.87,0.83,6.09,0.35,44.19,73.56,79.01,11,78
59,7.83,78,1.38,0.05,2.96,1.83,6.15,1.04,78.67,0.06,8.42,16,100
32,4.72,79,1.74,1.97,0.77,1.5,5.78,0.21,49.54,54.14,13.01,10,121
27,6.58,84,2.05,0.59,1.53,1.49,6.75,0.73,17.1,92.99,57.83,17,96
29,4.9,57,1.38,1.82,2.48,1.98,5.73,1.3,1.79,81.04,80.62,11,140
18,6.53,93,0.54,3.02,0.86,1.48,5.82,0.78,28.02,65.44,82.12,11,79
35,4.59,49,2,0.46,3.45,1.93,5.91,1.48,1.5,75.79,37.13,18,146
33,5.91,111,4.25,0.4,0.49,0.67,6.72,1.04,83.42,24.22,38.74,12,86
17,4.45,61,2.47,1.7,2.12,2.1,6.16,0.78,98.81,55.1,64.83,9,109
50,6.67,94,1.31,0.72,2.57,2.1,6.45,0.81,1.41,48.06,52.86,12,120
50,4.72,67,1.95,0.47,2.15,0.99,6.18,0.32,20.31,86.02,84.06,13,80
34,9.6,58,2.72,1.97,2.81,2.35,5.38,1.37,71.35,71.82,40.33,19,80
48,5.32,88,4.17,0.84,2.58,1.17,8.47,0.69,15.58,67.19,2.13,20,133
58,9.86,66,1.33,2.07,2.07,1.01,6.7,0.91,7.46,83.59,81.07,8,105
14,3.68,85,2.82,1.25,1.15,1.28,6.66,0.76,42.77,79.5,62.85,14,109
46,6.88,82,2.62,3.25,1.81,1.2,6.6,1.29,27.61,42.35,48.86,12,123
38,7.03,44,2.2,0.83,0.59,1.3,7.6,0.61,8.04,51.6,2.69,10,148
58,4.86,36,0.34,2.39,2.27,1.21,6.47,1.49,37.39,80.66,1.39,17,134
23,5.42,38,1.4,1.67,2.83,1.53,4.95,1.57,49.84,90.22,12.87,10,117
28,1.26,61,0.2,1.39,2.91,2.24,6.87,1.14,72.97,45.37,17.17,14,118
29,2.08,103,1.9,0.88,0.57,1.85,7.9,1.46,27.6,90.53,24,15,72
33,8.54,58,1.45,2.76,1.26,1.65,6.64,1.65,1.66,85.87,20.17,11,66
44,3.53,79,1.37,0.97,1.13,1.77,7.27,1.42,16.47,78.36,50.08,16,132
20,8,65,3.31,2.17,1.83,0.81,7.17,1.81,96.33,90.66,75.07,18,105
23,6.4,64,1.3,0.61,1.47,2.42,7.3,0.87,99.93,11.84,59.84,15,131
38,4.05,71,0.39,0.62,2.37,1.38,7.68,0.44,90.79,38.09,99.65,16,110
47,7.1,106,2.32,2.04,1.54,0.9,6.36,1.31,28.76,67.24,62.39,8,115
48,0.03,66,2.04,1.31,0.67,1.86,6.43,0.85,32.34,5.92,3.33,20,127
70,5.03,82,2.27,1.25,3.04,1.35,6.96,1.14,24.64,53.13,98.96,17,108
60,5.41,80,3.94,2.19,1.57,2.22,7.16,0.96,33.56,44.56,11.4,10,137
48,6.72,77,2.98,1.52,2.11,1.23,7.27,1.49,45.86,0.17,20.35,20,144
17,6.47,107,1.94,2.83,1.49,0.35,6.22,0.56,51.92,15.03,93.67,11,137
67,7.14,80,1.27,-1.2,3.49,2.5,6,1.43,90.36,26.27,82.3,19,110
44,8.22,69,3.91,1.52,2.67,2.44,5.3,0.24,55.88,12.45,1.44,9,133
46,8.15,79,-0.1,2.1,3.83,2.19,7.12,1.24,72.72,23.92,94.73,8,128
38,6.3,82,4.77,0.19,1.66,1.69,6.83,1.36,73.23,79.24,52.3,18,116
17,12.06,85,2.67,2.23,2.41,1.9,5.32,1.09,96.96,97.87,71.62,9,84
12,7.85,120,1.41,1.06,0.31,1.57,7.75,0.29,66.24,20.59,76,9,55
29,6.45,57,1.46,2.04,2.14,2.2,7.72,1.08,6.11,6.63,46.73,9,84
63,5.66,60,0.59,1,2.67,2.26,5.04,0.55,11.74,78.61,62.97,13,60
35,7.33,91,1.01,1.96,2.98,1.39,5.58,1.81,72.32,6.44,24.06,14,106
54,5.72,87,1.82,3.04,2.86,1.77,6.1,1.18,61.46,29.83,68.67,15,116
50,1.84,131,0.52,3,1.17,1.92,5,0.64,69.57,55.4,99.88,15,91
70,7.62,69,1.89,-0.01,2.33,2.4,5.16,1.37,18.15,6.62,93.54,14,103
24,8.27,116,1.39,1.1,3.24,1.45,6.93,0.6,77.04,81.71,40.89,19,92
17,6.99,69,0.37,3.19,2.22,1.12,5.12,-0.68,44.97,87.3,66.3,11,87
12,1.77,52,0.55,0.14,1.13,1.53,7.24,0.43,52.76,0.76,21.07,11,92
68,4.46,46,2.35,1.68,2.2,1.99,8.39,0.65,56.63,34.78,23,9,143
47,6.6,105,3.75,3.21,1.46,1.76,6.21,-0.71,27.73,7.17,17.16,16,130
27,3.6,88,2.69,1.11,1.41,1.38,7.15,1.01,38.82,44.12,27.64,11,50
24,6,19,1.31,1.02,3.42,1.32,7,1.38,72.97,45.51,2,12,93
32,6.35,120,2.86,2.52,2.76,1.56,6.84,1.39,43.31,8.68,37.46,10,89
46,5.81,86,2.9,1.01,1.43,0.55,7.21,0.76,18.5,57.81,42.33,10,75
70,6.75,124,2.12,2.55,1.62,1.43,5.47,2.2,13.46,25.09,40.13,17,74
37,4.34,78,1.08,1.66,2.98,1.2,4.43,0.93,95.24,75.08,95.6,15,83
54,3.9,32,1.94,0.67,2.82,1.29,7.49,1.13,61.16,35.29,72.23,19,147
31,7.23,104,2.99,1.43,2.36,2.37,7.78,0.88,89.54,28.55,21.33,12,101
12,7.56,54,2.43,2.06,1.89,1.26,7.04,1.8,46.32,24.01,72.26,12,114
69,6.85,116,1.34,1,1.73,1.61,9.09,0.88,22.9,70.73,53.33,18,122
70,4.26,74,1.85,1.64,1.36,1.5,6.39,1.46,44.25,73.43,67.86,18,114
26,6.14,61,2.33,1.8,3.5,0.87,6.93,0.34,43.22,88.39,4.59,12,92
27,6.54,56,1.16,1.17,1.92,0.77,7.36,1.21,46.87,53.34,49.1,19,127
70,1.46,64,1.86,0.63,1.56,2,7.2,1.58,90.28,60.55,15.03,16,37
55,5.69,72,1.26,3.01,2.36,0.86,5.81,1.1,59.21,73.99,39.66,20,79
37,6,113,2.27,2.27,-0.48,0.71,5.96,0.65,95.98,66.62,97.37,19,111
49,8.94,64,2.18,1.55,2.33,1.19,7.01,2.53,16.8,97.67,17.21,8,81
61,5.2,55,1.02,0.36,2.21,1.74,8.5,0.69,22.32,81.07,52.85,8,81
33,9.11,82,2.34,2.46,0.49,2.02,6.78,1.42,62.44,18.92,41.41,12,87
50,9.11,84,2.32,1.97,1,1.35,6.68,1.82,14.59,63.36,15.86,20,124
66,6.71,80,0.53,2.74,1.92,1.85,6.39,1.49,22.74,88.22,54.19,15,75
18,4.36,88,2.1,0.97,2.53,1,5.35,1.77,77.2,35.72,85.67,19,89
16,8.53,130,-0.29,1.74,3.55,0.96,7.11,1.04,76.09,73.76,62.82,12,48
65,7.84,35,2.06,1.83,1.15,1.31,6.06,1.71,76.82,15.8,38.08,19,148
62,5.18,95,0.08,2.64,1.15,1.56,7.15,0.94,2.3,1,52.73,17,71
21,2.34,107,2.03,1.06,1.49,1.9,6.29,1.18,84.27,18.86,85.43,16,127
36,5.81,86,1.19,0.38,2.46,1.51,5.84,0.73,87.94,63.46,32.72,10,146
35,5.51,59,1.74,0.6,1.11,0.89,5.28,0.42,67.39,75.83,22.77,16,54
26,6.07,66,1.76,0.65,2.66,1.76,8.14,1.22,55.23,19.47,10.97,9,101
30,7.02,90,2.24,4.12,1.97,1.56,5.76,1.53,39.45,85.72,34.27,9,99
47,8.65,91,1.72,0.55,4.56,1.82,8.91,1.55,48.85,30.38,94.4,16,99
37,3.87,94,0.4,1.91,2.43,0.44,6.33,1.32,65.85,96.79,62.97,12,53
67,2.72,89,0.94,-0.01,2.8,1.39,6.89,0.89,42.22,97,87.82,12,89
58,5.04,99,1.36,1.72,2.36,1.12,8.52,0.77,92.98,99.7,95.04,14,144
43,7.24,79,2.89,1.21,1.62,0.88,5.29,1.29,58.88,55.76,85.49,16,110
14,6.09,111,1.71,2.63,2.58,0.66,7.81,1.41,2.76,41.15,82.54,18,90
69,5.44,104,1.61,2.58,1.3,1.53,5.18,0.79,99.91,98.67,61.24,9,94
26,5.9,58,3.2,2.62,2.96,1.21,5.98,0.4,53.94,32.17,20.74,20,81
50,3.85,123,1.39,0.66,2.16,1.9,5.4,1.24,6.82,16.45,70.49,16,54
62,1.97,101,2.39,4.08,1.4,1.81,5.16,0.81,61.92,78.91,11,14,116
40,6.63,85,3.41,1.95,2.22,0.84,6.38,0.97,42.28,37.97,99.18,10,102
54,-0.27,47,1.03,2.63,2.09,2.01,6.98,1.16,72.3,41.79,74.24,14,83
62,3.88,92,2.47,1.8,2.71,1.35,5.27,0.02,17.55,4.12,5.97,8,127
64,2.64,80,2.2,0.61,1.58,0.71,5.09,0.9,85.67,93.45,17.86,12,45
45,3.75,79,2.12,2.05,3.09,1.26,6.09,0.48,27.09,83.93,57.06,12,114
46,4.8,69,2.71,2.62,2.12,1.85,5.68,0.8,45.77,57.7,82.65,14,60
51,5.05,107,3.19,1.61,2.24,1.08,7.34,0.23,55.44,33.56,56.49,12,104
48,5.51,79,0.11,2.74,3.17,0.01,5.22,2.11,96.54,59.42,74.1,8,161
12,4.75,110,0.93,0.63,2.04,1.3,7.64,1.25,4.59,77.41,60.95,16,75
42,7.8,112,1.41,1.6,1.69,1.28,5.8,2.34,22.34,84.71,44.13,13,100
26,4.67,86,2.55,1.37,1.35,1.88,6.95,1.83,5.66,49.03,41.66,8,100
31,1.79,91,3.43,1.08,3.82,1.82,6.9,0.43,97.73,28.99,78.05,17,64
32,7.39,95,1.91,3.49,2.5,1.6,7.58,1.55,83.36,13.22,84.39,18,60
49,5.52,80,2.28,1,3.32,1.17,7.36,1.21,79.42,45.2,79.1,13,67
23,3.52,100,3.09,2.98,2.78,1.27,6.63,0.87,18.2,10.73,57.21,14,107
42,6.65,29,1.54,1.77,1.25,0.93,5.7,0.6,4.24,60.75,82.73,16,126
56,5.33,58,3.01,2.93,1.39,1.26,6.88,1.14,78.5,30.41,14.03,13,119
41,8.33,83,0.2,1.33,3.65,1.51,7.02,0.62,0.67,19.59,82.73,14,70
14,7.16,97,2.34,1.92,2.34,1.4,6.57,1.23,81.2,8.31,36.61,12,175
21,6.77,108,2.25,2.15,2.4,2.13,4.56,0.31,4.47,92.84,83.93,9,107
49,6.41,60,1.35,1.87,2.64,1.51,5.81,0.66,81.66,11.52,6.13,17,134
55,5.98,92,1.5,0.05,2.77,0.83,6.39,2.13,60.49,25.47,75.54,20,66
51,3.92,64,1.44,1.67,0.93,2.47,5.79,1.76,50.72,94.15,62.8,14,85
51,1.59,105,1.36,1.41,2.41,1.16,7.12,0.34,48.79,67.15,48.09,14,123
50,3.55,65,3.38,0.69,0.64,1.25,6.78,1.5,27.14,34.19,86.05,19,87
23,5.04,67,1.04,2.82,2.18,0.94,5.74,0.78,14.88,75.53,21.24,13,31
32,6.68,148,1.65,3.37,2.49,1.11,6.97,0.79,5.84,89.62,16.23,11,103
68,5.59,114,3.49,2.48,4.63,1.71,6.91,1.18,82.13,89.67,73.86,12,120
66,7.07,80,1.37,0.31,1.2,0.88,5.68,1.4,7.92,55.48,44.24,9,108
67,5.8,43,0.8,2.86,2.92,0.89,6.14,1.66,2.06,22.75,47.58,17,89
38,7.26,96,2.76,-0.32,3.07,2.47,7.28,-0.06,55.42,30.54,21.02,15,104
37,6.01,70,1.97,1.29,-0.85,1.17,8.01,1.58,92.83,77.59,33.25,10,143
70,5.46,70,2.22,1.18,2.66,2.11,5.88,1.02,4.52,14.37,66.7,10,95
14,6.29,54,1.53,1.91,2.53,0.73,8.21,0.83,65.05,74.76,50.02,13,96
36,5.65,104,2.36,0.29,1.4,1.81,8.64,1.49,43.35,54.36,41.16,12,135
34,7.42,50,1.43,1.4,1.34,1.53,6.43,1.97,9.07,62.1,4.47,13,115
12,2.92,34,3,-0.38,1.57,1,6.16,1.05,61.21,32.46,8.49,17,89
57,2.97,107,2.67,0.83,2.74,0.48,8.11,1.47,26.29,43.99,81.94,14,156
47,5.33,14,2.08,1.31,2.49,1.01,8.92,1.3,17.09,89.13,29.96,15,139
66,9.1,86,1.72,1.48,0.32,0.98,7.5,0.99,60.74,39.96,52.17,18,137
64,7.89,72,2.88,3.64,1.99,2.15,6.43,0.58,88.68,34.99,27.71,8,131
38,8.09,136,1.94,0.32,2.45,1.73,6.48,0.35,10.49,8.53,35.38,17,111
17,1.85,43,1.7,2.41,2.1,1.52,6.27,0.84,93,86.01,2.96,12,60
28,4.27,48,2.02,0.53,3.36,1.18,5.22,0.9,92.05,47.45,56.48,8,80
16,4.68,92,1.8,2.28,3.32,1.82,5.5,1.06,87.22,13.1,33.46,12,54
18,3.47,72,1.15,3.36,2.57,1.94,5.78,2.03,27.36,10.57,10.84,10,87
23,6.05,71,2.86,2.03,1.18,1.32,6.63,0.71,20.17,78.22,8.27,16,111
57,8.76,48,2.56,0.37,1.64,1.46,4.28,0.49,59.36,83.22,66.24,9,84
62,4.4,78,1.63,-0.98,1.04,1.52,5.58,0.68,53.63,37.06,68.4,14,100
41,5.34,29,0.82,0.01,0.54,2.55,5.05,2.14,73.54,79.02,82.64,10,87
60,6.83,56,0.89,1.94,1.28,1.62,6.54,1.51,24.77,46.66,43.62,14,97
58,7.3,93,2.29,-1.17,1.8,1.34,6.34,1.22,99.96,44.9,38.8,9,66
39,6.63,86,1.9,1.85,0.82,1.25,5.59,1.3,90.28,7.38,51.58,8,112
43,5.24,92,2.23,2.27,1.91,1.48,5.05,1.26,71.44,18.59,9.67,15,69
69,4.47,73,2.39,1.15,1.97,2.53,8.09,1.08,46.23,90.7,95.54,8,65
51,6.24,56,1.98,2.2,2.19,2.32,7.39,0.57,81.04,36.26,7.43,16,92
22,4.48,101,1.28,1.67,2.56,1.63,5.56,1.07,45.73,91.27,80.36,19,148
50,4.62,73,2.09,1.94,1.72,1.37,7.55,0.95,10.2,81.24,64.19,19,61
29,4.48,97,1.32,3.52,1.01,1.89,6.29,0.4,79.48,7.4,0.04,16,120
37,9.13,91,2.9,2.59,0.85,1.42,6.25,1.49,41.89,90.94,96.56,9,57
54,7.78,70,2.62,0.34,2.44,1.37,4.83,0.8,57.09,23.06,83.81,19,151
41,8.01,135,1.85,0.62,0.03,1.1,7.53,1.82,11.65,26.7,32.51,20,101
13,5.48,93,1.08,1.62,0.6,3.07,6.92,1.69,65.81,32.96,23.3,8,137
13,6.49,80,3.32,1.98,2.03,2.11,7.22,1.15,56.9,79.01,60.96,14,153
67,6.79,107,0.43,0.82,2.14,1.04,5.77,0.9,45.18,98.23,50.12,20,95
63,6.44,114,0.83,-0.05,1.81,1.95,6.75,1.18,78.25,19.07,41.38,16,78
17,4.98,63,3.7,2.15,3.41,2.15,6.56,0.53,57.7,66.22,21.61,12,138
